CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,ZipCode,DateOfBirth,Gender,CustomerType,RegistrationDate
1,Donna,Butler,sarah02@pacheco.info,(175)124-6191x7993,19589 Barker Glen Suite 073,Brownfurt,California,Uzbekistan,15936,1958-07-11,Female,Premium,2020-12-02
2,Nathan,Duncan,fosterwayne@yahoo.com,(882)260-5792x66575,09012 Porter Overpass Apt. 423,South Martinport,Utah,Malaysia,44426,1971-11-10,Male,VIP,2022-05-02
3,Edward,Maddox,nlawrence@wilson.com,155-619-0354,15302 Gardner Stravenue,Rodriguezstad,Louisiana,Papua New Guinea,15648,1969-01-04,Female,Regular,2021-09-02
4,Jennifer,Cooper,thomaslee@yahoo.com,(078)276-8323x293,8851 Berg Radial,Vargasfurt,Nevada,Saint Martin,67300,1959-04-06,Male,VIP,2023-07-21
5,Christopher,Brown,paulwaters@cooper.com,4427099499,8747 Sherri Forks,Joshuastad,Maryland,Ukraine,67286,1952-08-27,Male,Regular,2023-02-24
6,Brian,Barry,andrea25@allen.net,+1-542-650-6218x79542,43631 Katherine Manor Suite 682,South Austin,Connecticut,Niger,82729,1973-08-06,Female,VIP,2020-10-24
7,Andrew,Jones,eleonard@rich.org,-9020,9354 Samantha Fort Apt. 953,Austinton,Hawaii,Heard Island and McDonald Islands,93428,1992-05-09,Female,Premium,2021-04-03
8,Donald,Tanner,jonesmelissa@hotmail.com,048-783-2384,14696 Trujillo Lakes Suite 727,North William,Maryland,Uruguay,65047,1968-04-04,Male,VIP,2021-06-08
9,Danielle,Walker,corywhitehead@yahoo.com,(306)242-8983x8303,026 Sara Path,Lake Victoria,North Dakota,Moldova,9506,1947-05-09,Male,Premium,2022-05-22
10,Nicholas,Hall,kruegerjohn@gmail.com,3319805955,31036 Kristen Fords,East Michelle,Alabama,Libyan Arab Jamahiriya,50571,1999-04-23,Male,Premium,2022-09-02
11,Angela,Howard,nicoleberg@hanson.org,-3473,39699 Joseph Walk Apt. 757,Derektown,Nevada,Reunion,28920,1988-07-13,Male,Premium,2020-07-01
12,Michelle,Lewis,megan55@yahoo.com,341-120-9119x4789,9373 Chavez Wells Apt. 519,East Natashafort,Rhode Island,South Africa,33028,1978-01-03,Male,Regular,2021-12-10
